address,lon,lat
"131 Sli An Choiste, Athlone, Roscommon",53.4284088,-7.9880813
"136 GREENHILLS EST, BALLINA, MAYO",54.114404449999995,-9.13629876237096
"139 ARDLEIGH VALE, MULLINGAR, CO WESTMEATH",53.5241802,-7.366385
"14 Ardcollum Avenue, Artane, Dublin 5",0,0
"14 CASTLE HOUSE, DAVITTS QUAY, DUNGARVAN",52.0893292,-7.616357471116505
"14 URBAN VILLAS, THE MURROUGH, WICKLOW",0,0
"14 Villarea Park, Glenageary",53.2826435,-6.1216345
"14 WOODVIEW, ASHFORD, WICKLOW",53.00492175,-6.108665194966595
"15 Laurel Court, Midleton",0,0
"15 The Willows, Allenwood, Naas",0,0
"17 ROS NA RI, SHANAWAY RD, ENNIS",0,0
"18 DUN NA HINSE, LAHINCH RD, ENNIS",0,0
"18 ORCHARD COURT, BLACKPOOL, CORK",0,0
"19 ORCHARD COURT, BLACKPOOL, CORK",0,0
"19 Summerhaven, Summerhill",0,0
"19A TOWER ST, 19 TOWER ST, CORK",51.92374289999999,-8.609839138487118
"1A CHURCHTOWN RD UPPER, DUBLIN 14, DUBLIN",53.29825865,-6.267472937886627
"2 SUMMERHILL, WICKLOW TOWN, CO WICKLOW",0,0
"20 ORCHARD COURT, BLACKPOOL, CORK",0,0
"20 WELLFIELD, KILCOOLE, WICKLOW",53.1073467,-6.0610813
"21 ORCHARD COURT, BLACKPOOL, CORK",0,0
"21 TAMARISK AVE, KILNAMANAGH, DUBLIN 24",53.3039527,-6.3578401
"22  A GLASSAN GNIT STUDENT VILLAGE, BALLYBANE RD, MERVUE",0,0
"22 FATHER REDMOND PARK, ARKLOW, WICKLOW",52.793334099999996,-6.166248398607134
"236 The Oaks, Newbridge",51.6785847,-3.1680947
"24 Rosemount Avenue, Artane, Dublin 5",0,0
"240 ORWELL PARK LAWNS, TEMPELOGUE, DUBLIN 6W",0,0
"25 HAZELBURY GREEN, CLONEE, DUBLIN 15",0,0
"26 Westbrook Road, Dundrum, Dublin 14",53.2994344,-6.2486814
"28 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, WICKLOW",52.8532596,-6.3302256
"28 BELFIELD ABBEY, BOREENMANNA ROAD, CORK",0,0
"29 ORCHARD COURT, BLACKPOOL, CORK",0,0
"3 Ballinaspig Lawn, Bishopstown",51.8830657,-8.5244211
"3 Castlepark View, Castlepark, Maynooth",53.3867746,-6.5853154
"3 KNIGHTS COURT, NEWCASTLEWEST, CO LIMERICK",0,0
"3 The Avenue, Plunkett Hall, Dunboyne",53.424705900000006,-6.483782574727518
"3 THE VALLEYS, MAIN STREET, SHINRONE",39.854093,-76.771202
"30 College Park Close, Ballinteer Road, Dumdrum",0,0
"30 FRANKFORD CLOSE, INNISCRONE, SLIGO",0,0
"30 Shanglas Road, Beaumont, Dublin 9",53.3885639,-6.2394959
"31 ORCHARD COURT, BLACKPOOL, CORK",0,0
"31 The Oaks, Maryborough Ridge, Douglas",51.8619138,-8.4144226
"32 Abbey Court, Clara",37.2849341,-121.9669157
"32 LACEY VILLA, TIPPERARY TOWN",0,0
"32 ORCHARD COURT, BLACKPOOL, CORK",0,0
"32 The Oaks, Maryborough Ridge, Douglas",51.861948324137934,-8.414439572413793
"33 COWPER DOWNS, RATHMINES, DUBLIN 6",53.317246265024316,-6.262410956243031
"36 HEATHER WAY, FOREST GLEN, FERMOY",0,0
"37 ORCHARD COURT, BLACKPOOL, CORK",0,0
"39 ORCHARD COURT, BLACKPOOL, CORK",0,0
"4 Brandon Square, Waterville, Blanchardstown",53.3933372,-6.3649027
"4 HOWTH JUNCTION COTTAGES, SUTTON, DUBLIN 5",0,0
"5 Brandon Square, Waterville, Blancherstown",0,0
"5 CHURCHVIEW APTS, CHURCH RD, DRUMCONDRA",0,0
"5 MAGLONA TERRACE, MOUNTRATH RD, PORTLAOISE",0,0
